,Q0Pad1,Q0Pad2,Q1Pad1,Q1Pad2,R0Pad1,R0Pad2,R1Pad1,R1Pad2,
Q0Pad1, 0.06340, 0.04290, 0.00377, 0.00252, 0.00000, 0.01156, 0.00000, 0.00004
Q0Pad2, 0.04290, 0.06736, 0.00252, 0.00381, 0.00000, 0.00123, 0.00000, 0.00004
Q1Pad1, 0.00377, 0.00252, 0.06235, 0.02892, 0.00000, 0.00004, 0.00000, 0.00661
Q1Pad2, 0.00252, 0.00381, 0.02892, 0.06552, 0.00000, 0.00004, 0.00000, 0.00116
R0Pad1, 0.00000, 0.00000, 0.00000, 0.00000, 0.07312, 0.00000, 0.00000, 0.00000
R0Pad2, 0.01156, 0.00123, 0.00004, 0.00004, 0.00000, 0.01201, 0.00000, 0.00000
R1Pad1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.07332, 0.00000
R1Pad2, 0.00004, 0.00004, 0.00661, 0.00116, 0.00000, 0.00000, 0.00000, 0.01575

Conductance Matrix
,Q0Pad1,Q0Pad2,Q1Pad1,Q1Pad2,R0Pad1,R0Pad2,R1Pad1,R1Pad2,
Q0Pad1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
Q0Pad2, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
Q1Pad1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
Q1Pad2, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
R0Pad1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
R0Pad2, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
R1Pad1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
R1Pad2, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000

Conductance Matrix Coupling Coefficient
,Q0Pad1,Q0Pad2,Q1Pad1,Q1Pad2,R0Pad1,R0Pad2,R1Pad1,R1Pad2,
Q0Pad1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
Q0Pad2, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
Q1Pad1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
Q1Pad2, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
R0Pad1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
R0Pad2, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
R1Pad1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
R1Pad2, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000

Spice Conductance Matrix
,Q0Pad1,Q0Pad2,Q1Pad1,Q1Pad2,R0Pad1,R0Pad2,R1Pad1,R1Pad2,
Q0Pad1, 0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000
Q0Pad2,-0.00000, 0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000
Q1Pad1,-0.00000,-0.00000, 0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000
Q1Pad2,-0.00000,-0.00000,-0.00000, 0.00000,-0.00000,-0.00000,-0.00000,-0.00000
R0Pad1,-0.00000,-0.00000,-0.00000,-0.00000, 0.00000,-0.00000,-0.00000,-0.00000
R0Pad2,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.00000,-0.00000,-0.00000
R1Pad1,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.00000,-0.00000
R1Pad2,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.00000

